图片路径,引用文件,行号,代码行
"/static/kahe-202510/login/btn1.png","components/login/components/button.vue","9","<image class=""custom-btn-bg"" src=""/static/kahe-202510/login/btn1.png"" />"
"/static/kahe-202510/login/btn2.png","components/login/components/button.vue","16","<image class=""custom-btn-bg"" src=""/static/kahe-202510/login/btn2.png"" />"
"/static/kahe-202510/ka-he/tab-bar/item3.png","config/tabBar/index.ts","22","iconNormal: ""/static/kahe-202510/ka-he/tab-bar/item3.png"","
"/static/kahe-202510/home/card1.png","pages/home/components/items/index.vue","4","<image class=""home-buttons-left-img"" src=""/static/kahe-202510/home/card1.png"" />"
"/static/kahe-202510/home/card2.png","pages/home/components/items/index.vue","7","<image class=""home-buttons-left-img"" src=""/static/kahe-202510/home/card2.png"" />"
"/static/kahe-202510/home/card3.png","pages/home/components/items/index.vue","10","<image class=""home-buttons-right-img"" src=""/static/kahe-202510/home/card3.png"" />"
"/static/kahe-202510/challenge/goods-detail-bg.png","subPackages/challenge/components/detail/index.vue","15","<!--        src=""/static/kahe-202510/challenge/goods-detail-bg.png""-->"
"/static/kahe-202510/common/common-bg.png","subPackages/mine/coupon/index.vue","3","<image class=""coupon-bg"" src=""/static/kahe-202510/common/common-bg.png"" />"
"/static/kahe-202510/welfare/top-bg.png","subPackages/welfare/index.vue","5","<image class=""welfare-content-top"" src=""/static/kahe-202510/welfare/top-bg.png"" />"
"/static/kahe-202510/welfare/card1.png","subPackages/welfare/index.vue","82","image: ""/static/kahe-202510/welfare/card1.png"","
"/static/kahe-202510/welfare/card2.png","subPackages/welfare/index.vue","86","image: ""/static/kahe-202510/welfare/card2.png"","
"/static/kahe-202510/welfare/card3.png","subPackages/welfare/index.vue","90","image: ""/static/kahe-202510/welfare/card3.png"","
"/static/kahe-202510/welfare/card4.png","subPackages/welfare/index.vue","94","image: ""/static/kahe-202510/welfare/card4.png"","
"/static/kahe-202510/welfare/card5.png","subPackages/welfare/index.vue","98","image: ""/static/kahe-202510/welfare/card5.png"","
"/static/kahe-202510/welfare/card6.png","subPackages/welfare/index.vue","102","image: ""/static/kahe-202510/welfare/card6.png"","
"/static/kahe/tags/single.png","utils/tools/image.ts","307","return ""/static/kahe/tags/single.png"";"
